id,street,status,previous_jobs_count,amount_due,lat,lng
92,221 Bush St,in_progress,1,1026,33.38756537,-112.0019737
93,261 Pine St,active,3,1026,33.43918103,-112.0437615
94,123 Pine Ave,collected,3,1026,33.43305583,-112.185122
95,337 Turk St,active,3,1027,33.38085973,-112.0916194
96,565 Sutter Trl,collected,3,1028,33.47991444,-111.9025151
97,507 7th Dv,collected,2,1028,33.56668827,-111.9056703
98,29 Bush Ave,active,3,1029,33.40020347,-112.3375511
99,11 Blake Dv,in_progress,3,1029,33.40467296,-112.3094848
100,565 5th Blvd,active,1,1030,33.59124016,-112.0149449
101,740 2nd Cir,collected,2,1030,33.53026189,-112.1944837
102,374 Pine Trl,active,2,1030,33.38253278,-111.981852
103,663 Pine Wl,active,3,1030,33.55581417,-112.1800818
104,531 7th Pl,in_progress,1,1031,33.51121308,-112.3040026
105,653 8th Ave,collected,2,1031,33.56091501,-112.1238154
106,373 Page Wl,active,2,1031,33.5686153,-112.324447
107,704 Indiana Pl,active,1,1031,33.47169453,-112.1501226
108,40 Walnut Pl,in_progress,1,1031,33.45029251,-112.1772923
109,440 Franklin Ave,active,3,1031,33.4418384,-112.0247312
110,542 Blake Pl,active,3,1031,33.41143838,-112.0431847
111,356 4th Rd,active,1,1031,33.39760768,-112.0924429
112,218 Turk Rd,active,1,1032,33.53649978,-112.2512796
113,209 Blake St,active,3,1032,33.48205861,-112.2940625
114,736 Sutter Pl,collected,2,1032,33.44084671,-112.1048498
115,369 Texas St,collected,1,1032,33.52905646,-112.0623085
116,328 Indiana Wl,collected,2,1033,33.39833421,-112.290792
117,311 Blake Trl,in_progress,1,1033,33.45350207,-111.9878446
118,258 California Ave,in_progress,3,1033,33.44788836,-112.0850522
119,596 Walnut Pl,in_progress,3,1033,33.55410449,-112.2318994
120,149 5th Blvd,collected,3,1034,33.51774373,-112.1985676
121,60 8th Pl,active,1,1034,33.43158407,-112.0116467
122,622 Euclid Way,active,1,1035,33.42053145,-112.1744801
123,641 7th Rd,collected,2,1035,33.36518457,-111.9846204
124,31 5th Rd,collected,2,1035,33.5668078,-111.9727493
125,337 California Cir,in_progress,1,1035,33.51931205,-112.2781393
126,456 Indiana Ave,active,3,1036,33.54017714,-112.2453392
127,144 6th Ave,in_progress,1,1036,33.39536974,-112.2378666
128,480 5th Pl,active,2,1036,33.38335846,-111.882248
129,794 Sutter Way,in_progress,3,1036,33.5345779,-111.9874714
130,180 Geary Ave,active,3,1036,33.41939467,-111.9993082
131,219 7th Dv,in_progress,3,1036,33.48218185,-112.1659022
132,702 Texas Trl,active,2,1036,33.44763501,-111.9423503
133,192 Bush Wl,collected,3,1036,33.51599726,-112.2674328
134,570 Turk Ave,in_progress,3,1037,33.48033402,-111.9061201
135,722 Sutter Pl,collected,1,1037,33.46350327,-112.2591937
136,179 Blake Cir,collected,1,1037,33.39137539,-111.9263346
137,555 4th Dv,collected,1,1038,33.56681468,-112.1621013
138,527 6th Vis,active,1,1039,33.51208141,-112.0748239
139,33 Page Pl,collected,1,1039,33.55217888,-111.949793
140,691 Turk Vis,active,2,1039,33.38236612,-112.2957943
141,560 Wall Trl,collected,3,1040,33.53596756,-112.2903584
142,305 California Way,collected,3,1041,33.49391536,-111.9959509
143,15 2nd St,in_progress,1,1041,33.56261635,-111.8994975
144,383 Page Vis,collected,3,1041,33.50945713,-112.1695205
145,744 7th Vis,in_progress,1,1041,33.54684465,-112.3569166
146,795 8th St,in_progress,3,1042,33.42778883,-112.2957968
147,321 Indiana Ave,in_progress,2,1042,33.57303463,-112.2151713
148,700 Blake Cir,in_progress,1,1042,33.50750069,-112.2442033
149,631 Pine Ave,in_progress,1,1044,33.40457019,-112.3530796
150,127 Post Blvd,in_progress,3,1044,33.54956965,-112.1391455
151,300 California St,collected,2,1044,33.55343402,-112.3456033
152,743 5th Cir,in_progress,1,1044,33.54193804,-112.1222339
153,338 Walnut Blvd,collected,1,1044,33.44686593,-111.8991782
154,371 Mission Trl,collected,3,1044,33.42354171,-112.0782572
155,521 2nd Vis,active,3,1044,33.42174697,-112.2760023
156,653 Post Dv,active,3,1045,33.47150007,-112.0735009
157,146 Wall Rd,collected,2,1045,33.37162208,-112.3494041
158,221 Indiana Cir,collected,1,1045,33.52582354,-112.2524268
159,445 7th Way,active,2,1046,33.44974504,-112.0226146
160,743 California Rd,collected,2,1046,33.52877253,-111.9150678
161,410 4th Vis,in_progress,2,1046,33.40480279,-112.003479
162,401 Sutter Way,in_progress,2,1046,33.52299427,-111.9390113
163,140 8th Trl,in_progress,1,1047,33.4633619,-112.2080927
164,214 Indiana Trl,in_progress,3,1047,33.50066959,-112.0100991
165,626 Franklin Rd,collected,3,1047,33.53622637,-112.2449445
166,657 Texas Way,collected,1,1047,33.48830689,-111.9769504
167,330 Geary Wl,in_progress,2,1047,33.4072806,-112.1609063
168,521 7th Dv,in_progress,3,1048,33.58658362,-112.1434448
169,96 9th Way,in_progress,1,1048,33.38275997,-111.9290358
170,147 6th Vis,collected,3,1048,33.51185503,-112.0721224
171,266 Euclid St,active,3,1048,33.53001915,-112.2318836
172,294 Euclid Rd,in_progress,2,1049,33.58471695,-112.2694034
173,607 3rd Wl,in_progress,3,1050,33.48960809,-112.1824124
174,427 Bush Pl,active,3,1050,33.5374681,-112.2993449
175,44 3rd Dv,active,1,1050,33.39238949,-112.2662454
176,777 8th Cir,collected,3,1050,33.42387547,-111.9519717
177,674 6th Vis,active,2,1051,33.49812873,-111.9066529
178,690 7th Trl,active,1,1052,33.57429104,-112.129619
179,700 1st Ave,in_progress,1,1052,33.53752932,-112.3126432
180,89 3rd Pl,collected,1,1052,33.57284162,-112.0288005
181,379 4th Trl,active,2,1052,33.57878843,-112.1637751
182,664 Turk Ave,active,3,1052,33.37486331,-112.0454932
183,428 Walnut Cir,collected,1,1053,33.46277551,-112.0376191
184,585 4th Blvd,active,3,1053,33.38364861,-111.9313347
185,463 Turk Blvd,collected,3,1053,33.57125456,-112.0478581
186,224 2nd Dv,active,2,1053,33.47380987,-112.2001709
187,517 Indiana Ave,collected,1,1054,33.50533035,-111.9518123
188,392 Blake Pl,active,1,1054,33.59185531,-112.2825279
189,146 Page Blvd,active,2,1054,33.5935038,-112.1520567
190,722 Mission Wl,in_progress,2,1054,33.41256945,-112.3517958
191,391 Mission Ave,active,3,1055,33.43065589,-112.2604724
192,542 Blake Trl,in_progress,2,1055,33.57531567,-112.0683423
193,735 Bush St,collected,1,1055,33.3636651,-111.9758006
194,17 Bush Way,collected,2,1056,33.42629345,-112.2651538
195,308 Franklin Ave,collected,2,1056,33.50538691,-112.130904
196,112 Post Dv,in_progress,1,1056,33.52002603,-112.0972326
197,579 8th Blvd,collected,1,1056,33.3988631,-111.9446085
198,385 8th Trl,active,1,1057,33.37677056,-112.337866
199,532 Texas Vis,in_progress,3,1058,33.54038424,-111.8869192
200,707 2nd Cir,active,1,1058,33.59107182,-112.1981605
201,45 2nd Vis,collected,2,1058,33.48036951,-111.9877287
202,448 Bush Ave,in_progress,2,1059,33.59397048,-112.0553785
203,795 California Dv,in_progress,1,1059,33.55942489,-112.0280523
204,668 5th Way,active,2,1059,33.44575825,-112.3207485
205,353 Euclid Rd,collected,1,1060,33.54497156,-112.1551463
206,108 Wall Pl,active,3,1060,33.36847016,-111.9240471
207,365 Indiana Way,active,2,1061,33.46227325,-112.1898364
208,316 Geary Rd,collected,2,1061,33.38146365,-112.0188247
209,74 9th Vis,in_progress,2,1061,33.58650118,-111.9149395
210,23 Turk Way,in_progress,1,1062,33.53335536,-112.1129631
211,431 7th Wl,collected,2,1062,33.53746886,-112.0226164
212,92 Wall Cir,in_progress,2,1062,33.45179978,-112.1461438
213,339 Euclid Cir,active,1,1062,33.47044896,-112.292987
214,401 3rd Cir,collected,3,1062,33.38184827,-112.0567154
215,697 Mission Trl,collected,1,1063,33.51415844,-112.1208691
216,642 9th Rd,active,3,1063,33.50616188,-112.2977445
217,549 Sutter Pl,in_progress,2,1063,33.38975679,-112.1503605
218,18 Pine Way,active,1,1064,33.55791823,-112.2442353
219,529 8th Ave,active,1,1064,33.51112409,-112.3017429
220,593 6th Blvd,in_progress,1,1064,33.43977576,-112.011108
221,54 Euclid Ave,in_progress,2,1064,33.37198645,-112.1133709
222,785 6th St,in_progress,2,1064,33.55010287,-111.914412
223,91 California Vis,collected,1,1064,33.37829215,-111.901483
224,40 7th Ave,active,2,1064,33.5134488,-112.0810537
225,96 3rd Rd,collected,3,1065,33.37723043,-111.970148
226,14 Texas Blvd,in_progress,1,1066,33.40953173,-112.2952967
227,629 5th Vis,in_progress,2,1066,33.56575472,-111.904465
228,411 Pine Cir,active,2,1066,33.49894189,-112.257573
229,605 Bush St,collected,2,1067,33.42416591,-112.2198323
230,55 Texas Trl,in_progress,2,1068,33.51743252,-112.2918092
231,633 8th Trl,collected,2,1068,33.52782381,-112.0184698
232,580 Sutter Vis,collected,3,1068,33.56148954,-112.2943806
233,69 6th Cir,active,3,1068,33.41947061,-112.2828832
234,317 Turk Rd,in_progress,3,1068,33.45448225,-112.2277161
235,255 Blake Pl,in_progress,2,1069,33.54867097,-112.3506682
236,312 Bush Pl,in_progress,1,1069,33.41131644,-112.0309674
237,59 5th Ave,active,1,1069,33.52138947,-111.9439383
238,417 3rd Way,collected,3,1070,33.36916515,-111.915928
239,393 Franklin Rd,collected,3,1070,33.45083627,-112.0884713
240,691 Walnut Trl,in_progress,2,1070,33.59294078,-111.9205178
241,264 Pine Rd,active,2,1071,33.43033101,-112.0897363
242,202 California Vis,in_progress,1,1071,33.48083403,-112.3034803
243,276 Turk Way,in_progress,1,1071,33.37612099,-112.2166772
244,730 Texas Ave,active,1,1071,33.4287318,-112.2160195
245,584 6th Ave,in_progress,1,1071,33.37111934,-111.9691984
246,579 8th St,in_progress,2,1071,33.50473083,-112.1620385
247,528 8th Dv,collected,1,1072,33.46493432,-111.88013
248,350 1st Ave,in_progress,2,1072,33.52684776,-112.0399073
249,739 Page Dv,active,1,1072,33.57080171,-112.210143
250,278 5th St,collected,3,1072,33.51198809,-112.3198639
251,568 Sutter Blvd,active,2,1072,33.39755158,-112.2273687
252,759 Sutter Trl,collected,1,1073,33.39293584,-112.1236633
253,354 Blake Dv,collected,3,1073,33.47888596,-111.9102678
254,159 6th Ave,collected,2,1073,33.51365422,-112.0806457
255,502 Geary St,in_progress,3,1073,33.39994366,-112.3307904
256,648 California Way,active,1,1073,33.50380141,-111.9498293
257,574 1st St,collected,3,1074,33.43057416,-112.1383743
258,769 Turk Blvd,collected,2,1074,33.40749068,-112.1827788
259,303 Texas Trl,collected,3,1074,33.4106504,-112.2162124
260,760 Sutter Trl,collected,3,1075,33.47035347,-112.0256451
261,495 Blake Ave,active,2,1075,33.55742738,-112.2415424
262,262 Euclid Pl,active,2,1075,33.4993604,-112.2551102
263,291 Post Way,in_progress,3,1075,33.36469575,-112.3461809
264,646 8th Way,collected,1,1076,33.49731318,-111.9247512
265,276 Pine Dv,active,1,1076,33.57900046,-112.287482
266,42 Texas Blvd,collected,3,1076,33.37329882,-111.9787747
267,649 Texas Dv,active,3,1077,33.39171638,-112.2851511
268,726 Pine Blvd,in_progress,2,1077,33.36363466,-112.1348615
269,23 Page St,active,2,1077,33.39062838,-112.2232529
270,455 Post Vis,in_progress,2,1077,33.54049038,-112.3096602
271,722 Page Way,active,1,1078,33.5426763,-112.0980951
272,99 Post Pl,active,3,1078,33.42627477,-111.8882355
273,439 Turk St,in_progress,1,1078,33.55379813,-112.1487528
274,567 California Vis,collected,1,1079,33.45563192,-112.0343176
275,249 Pine Cir,active,2,1079,33.43119255,-112.2521721
276,500 Turk Vis,collected,1,1079,33.55109052,-111.9209147
277,241 Wall Rd,collected,3,1080,33.51416268,-112.2145735
278,25 2nd Dv,active,1,1080,33.55961402,-112.3098115
279,667 4th Wl,in_progress,2,1080,33.40112225,-111.9346812
280,283 3rd St,in_progress,1,1081,33.4126553,-112.3013752
281,421 6th Pl,in_progress,2,1081,33.47284396,-112.0857629
282,333 California Blvd,in_progress,2,1081,33.48217454,-111.8827067
283,742 Blake Way,in_progress,3,1081,33.55357786,-112.221621
284,466 5th Ave,active,3,1081,33.36801559,-112.0563389
285,55 Texas Cir,active,1,1082,33.37140117,-112.1877796
286,350 6th Dv,collected,2,1082,33.37514974,-112.0879583
287,394 Indiana Vis,active,3,1082,33.53073739,-112.2331227
288,601 1st Vis,in_progress,2,1082,33.56008732,-111.9529132
289,462 1st Way,in_progress,3,1082,33.52109563,-111.9939065
290,656 Geary Blvd,collected,3,1082,33.42698119,-112.0583175
291,369 Franklin Cir,in_progress,3,1082,33.49361789,-112.2366692
292,21 Indiana St,in_progress,2,1083,33.3904642,-111.9896838
293,631 Texas Rd,collected,1,1083,33.45975373,-112.0761255
294,13 Post Trl,collected,3,1083,33.5644442,-112.0326363
295,369 California Vis,collected,2,1083,33.50753552,-112.2385975
296,489 Indiana St,active,3,1083,33.50057381,-111.9236347
297,626 5th Cir,collected,2,1084,33.41517676,-112.0643346
298,698 Walnut Vis,active,2,1084,33.44320172,-111.9011924
299,153 6th Way,active,3,1084,33.36188275,-112.22596
300,652 4th Ave,in_progress,1,1085,33.53477571,-112.0934616
301,646 Sutter Vis,active,3,1086,33.52698669,-112.0243634
302,747 1st St,collected,3,1086,33.37668565,-112.2458306
303,159 4th Rd,collected,3,1086,33.46628606,-111.8781877
304,645 Walnut St,active,3,1087,33.5126661,-112.1153573
305,745 Franklin Cir,collected,2,1088,33.3804313,-112.1780257
306,36 Franklin Dv,collected,2,1088,33.38845772,-112.2398862
307,524 3rd Dv,collected,1,1089,33.47103913,-111.9482351
308,453 2nd Blvd,collected,3,1089,33.45847829,-112.3368157
309,676 Indiana Ave,in_progress,1,1089,33.45092327,-111.8870464
310,589 5th St,in_progress,1,1089,33.38446434,-112.287228
311,137 Indiana Vis,active,2,1089,33.53469058,-111.9903915
312,326 Franklin Wl,collected,2,1090,33.44110402,-112.1161492
313,163 Turk Dv,collected,3,1090,33.55165391,-111.9031318
314,619 Mission Dv,active,2,1090,33.40305141,-112.0123131
315,733 Euclid Trl,in_progress,2,1091,33.57402638,-112.3248267
316,139 Bush Blvd,collected,1,1091,33.5907562,-112.2331554
317,79 3rd Way,active,1,1091,33.51911575,-112.276301
318,472 Pine Wl,in_progress,3,1091,33.5162724,-111.9127224
319,18 Geary Vis,collected,3,1091,33.51370474,-111.9914203
320,89 Texas Cir,active,3,1092,33.48578485,-112.1111495
321,388 Wall Pl,active,2,1092,33.44982306,-112.2890294
322,603 2nd Wl,active,2,1092,33.44214955,-111.9111763
323,662 7th Vis,in_progress,3,1093,33.49482836,-112.1865422
324,519 6th St,in_progress,1,1093,33.51587225,-112.3383582
325,629 Post Pl,in_progress,2,1093,33.4808222,-112.3031922
326,274 6th Cir,in_progress,2,1093,33.55750216,-112.2212799
327,754 Wall St,active,3,1094,33.37809507,-112.0593138
328,771 Blake Pl,in_progress,2,1094,33.52374498,-111.9419419
329,543 7th Trl,active,2,1095,33.58457134,-112.2305891
330,481 Wall Ave,active,3,1095,33.51859637,-112.1905873
331,248 Blake Wl,collected,2,1095,33.54212012,-111.9443426
332,42 3rd Rd,collected,3,1095,33.50689733,-112.1515468
333,487 2nd Trl,collected,2,1095,33.58197956,-111.94462
334,498 Wall Rd,collected,3,1096,33.48253351,-112.2892544
335,216 Blake Pl,collected,3,1096,33.46650971,-112.313357
336,349 Texas Trl,collected,3,1096,33.52046983,-112.1659985
337,270 Post Ave,in_progress,1,1096,33.51364569,-112.2232259
338,784 9th St,in_progress,2,1097,33.43155543,-112.1582807
339,273 5th Trl,in_progress,2,1097,33.37197731,-112.227578
340,420 Mission Wl,collected,1,1097,33.56353552,-112.0616828
341,587 Post Vis,in_progress,2,1098,33.41845451,-111.9877256
342,605 Franklin Ave,collected,3,1098,33.55207995,-111.9537345
343,645 Texas Way,active,1,1098,33.3746497,-111.9754552
344,176 Euclid Way,collected,2,1098,33.4448738,-112.0565209
345,666 Euclid Wl,collected,3,1098,33.52818847,-112.0089525
346,427 Walnut St,in_progress,2,1098,33.44320912,-112.0054464
347,736 5th Way,in_progress,3,1099,33.4479157,-111.9279791
348,764 3rd Trl,collected,1,1099,33.53661091,-112.1988684
349,171 Pine Cir,active,3,1099,33.44860271,-112.2773652
350,20 Sutter St,active,1,1099,33.42687268,-111.9755603
351,57 1st Ave,in_progress,2,1099,33.41955889,-112.3335711
352,86 Geary Rd,in_progress,1,1099,33.49516433,-112.0931485
353,230 3rd Trl,active,3,1099,33.39689433,-112.1457358
354,348 2nd Vis,in_progress,3,1100,33.39626067,-112.1697634
355,578 Walnut St,active,2,1100,33.38061758,-112.2678347
356,414 Walnut St,in_progress,2,1100,33.49615413,-111.9873016
357,528 6th Blvd,in_progress,2,1100,33.48044307,-111.9542213
358,425 1st Vis,collected,3,1101,33.56352079,-111.9491651
359,573 Indiana Wl,in_progress,3,1101,33.51416085,-112.30177
360,295 7th Ave,in_progress,1,1101,33.50979759,-112.0902879
361,582 Indiana Cir,active,2,1102,33.40575562,-112.3597165
362,251 Blake Wl,collected,2,1103,33.42371913,-111.9616878
363,236 Walnut Dv,in_progress,2,1104,33.38313946,-111.8947209
364,562 Franklin Ave,active,1,1105,33.53769708,-111.9901204
365,500 Blake Way,active,3,1105,33.45744567,-112.0980576
366,679 Franklin Cir,in_progress,3,1106,33.59330523,-112.1799162
367,635 California Rd,collected,2,1106,33.43602737,-112.2518159
368,415 Turk St,active,2,1106,33.58400802,-112.1327198
369,437 Page Cir,active,2,1107,33.51226409,-112.1658516
370,622 7th Wl,collected,1,1107,33.44425528,-112.0247557
371,405 Walnut Ave,collected,2,1107,33.58653637,-112.2460629
372,392 Wall Pl,active,2,1107,33.57743169,-111.9310895
373,795 6th Blvd,in_progress,1,1107,33.36278111,-112.1831534
374,659 9th St,collected,2,1107,33.48157254,-112.3015219
375,307 Turk Ave,in_progress,2,1107,33.47684338,-112.0484098
376,302 Pine Ave,in_progress,3,1107,33.42473631,-112.0397838
377,258 3rd Dv,collected,1,1107,33.42005689,-112.2269858
378,143 Wall Rd,in_progress,1,1108,33.5445599,-112.14838
379,425 Euclid Ave,collected,1,1108,33.59304764,-111.9943465
380,558 Mission Trl,in_progress,2,1108,33.54335899,-112.2905369
381,732 Sutter Ave,in_progress,1,1108,33.50161771,-112.272953
382,556 6th Ave,collected,2,1108,33.45488365,-112.3461493
383,700 2nd Blvd,in_progress,1,1108,33.3812114,-111.9445613
384,689 Blake Rd,in_progress,2,1108,33.41163534,-111.9540352
385,305 1st Dv,active,1,1109,33.54648115,-112.0506121
386,359 Bush Dv,collected,1,1109,33.36195049,-111.9465785
387,503 Post Trl,collected,2,1109,33.45202049,-112.0389621
388,157 7th Rd,collected,1,1109,33.4880492,-112.2154433
389,535 Indiana St,collected,3,1109,33.41578639,-112.32653
390,430 2nd St,active,1,1110,33.3843246,-112.2034872
391,713 Franklin Pl,active,2,1110,33.55808331,-111.8933949
392,319 Texas Ave,active,3,1110,33.48193105,-112.3200677
393,664 6th Pl,in_progress,2,1110,33.45355126,-112.2438323
394,587 2nd Pl,collected,1,1111,33.51755775,-112.1478667
395,333 Mission Pl,in_progress,1,1111,33.41372807,-111.9709124
396,566 Bush St,active,2,1112,33.49284225,-112.1194377
397,235 8th Vis,collected,1,1112,33.45902084,-111.9248301
398,60 Euclid Wl,in_progress,2,1113,33.57134028,-112.2241732
399,786 8th Vis,in_progress,3,1113,33.47937906,-112.090721
400,430 6th Trl,in_progress,3,1113,33.39561511,-112.2537186
401,626 6th Wl,active,2,1114,33.40250582,-112.2227384
402,157 Walnut Blvd,active,1,1114,33.44126419,-111.9424147
403,535 1st Cir,in_progress,1,1115,33.56787899,-112.3208935
404,85 3rd Cir,collected,3,1115,33.44190278,-112.1156274
405,585 Turk Ave,collected,1,1115,33.38623126,-112.3288939
406,545 7th Blvd,active,1,1116,33.58228565,-112.1653238
407,444 2nd St,collected,3,1116,33.46937903,-111.879243
408,790 Indiana Vis,collected,2,1116,33.48249475,-112.1257199
409,680 Mission Way,in_progress,2,1116,33.57469352,-112.2575754
410,666 Blake Vis,in_progress,3,1116,33.58572211,-111.9630663
411,703 Geary Way,collected,3,1117,33.57957758,-112.1766658
412,673 Post Rd,collected,2,1118,33.56709958,-112.1603683
413,191 Euclid Way,collected,1,1118,33.54251813,-112.1372967
414,279 Pine Rd,active,1,1118,33.36104659,-111.9588353
415,608 7th Way,in_progress,3,1118,33.38449802,-112.1559415
416,606 Geary St,active,3,1118,33.46068223,-112.3481958
417,324 Mission Way,collected,1,1118,33.51564664,-112.1201366
418,616 Texas Way,in_progress,3,1118,33.4728459,-112.1820945
419,42 Franklin Trl,in_progress,2,1118,33.54974914,-112.3426978
420,164 Pine Ave,in_progress,3,1120,33.513227,-112.1682241
421,99 2nd Cir,collected,3,1120,33.48445574,-112.1681352
422,214 Post St,collected,3,1121,33.47947929,-111.8918328
423,148 Post Way,in_progress,3,1121,33.5838938,-111.9090347
424,798 Wall Trl,collected,1,1121,33.44650379,-112.0933623
425,746 Geary Trl,in_progress,2,1121,33.50557191,-111.8977634
426,36 7th Trl,in_progress,2,1121,33.54741726,-112.0237214
427,244 6th Dv,in_progress,3,1121,33.55505335,-112.0882465
428,314 Blake Ave,in_progress,2,1122,33.56431113,-112.2621906
429,86 Post Way,collected,3,1123,33.51312902,-111.9162887
430,263 Post Pl,active,1,1123,33.43510988,-111.9916749
431,455 Page St,in_progress,1,1123,33.44914752,-112.2646964
432,747 Walnut Pl,active,2,1124,33.44281835,-112.3398122
433,148 5th Trl,in_progress,2,1124,33.46036343,-112.1602684
434,352 California Trl,active,1,1124,33.58532615,-112.0165611
435,790 8th Ave,collected,3,1124,33.43782342,-111.9266633
436,666 Pine Dv,in_progress,2,1124,33.5919743,-112.2798227
